"emp_no","count"
10010,2
10018,2
10029,2
10040,2
10050,2
10060,2
10070,2
10080,2
10088,2
10098,2
10108,2
10116,2
10124,2
10134,2
10144,2
10155,2
10164,2
10172,2
10182,2
10192,2
10200,2
10209,2
10219,2
10228,2
10238,2
10249,2
10259,2
10268,2
10279,2
10287,2
10298,2
10307,2
10317,2
10327,2
10335,2
10344,2
10354,2
10363,2
10374,2
10382,2
10392,2
10403,2
10412,2
10422,2
10430,2
10440,2
10449,2
10459,2
10469,2
10478,2
10488,2
10499,2
10510,2
10519,2
10529,2
10538,2
10548,2
10557,2
10567,2
10577,2
10585,2
10593,2
10604,2
10614,2
10623,2
10634,2
10644,2
10655,2
10663,2
10673,2
10681,2
10690,2
10701,2
10709,2
10720,2
10730,2
10738,2
10748,2
10756,2
10765,2
10775,2
10786,2
10797,2
10806,2
10817,2
10825,2
10836,2
10846,2
10855,2
10865,2
10874,2
10885,2
10895,2
10906,2
10916,2
10926,2
10937,2
10948,2
10956,2
10966,2
10975,2
10985,2
10994,2
11004,2
11012,2
11022,2
11032,2
11041,2
11052,2
11061,2
11072,2
11083,2
11092,2
11102,2
11110,2
11120,2
11129,2
11138,2
11148,2
11156,2
11164,2
11172,2
11182,2
11190,2
11199,2
11209,2
11219,2
11229,2
11238,2
11246,2
11257,2
11267,2
11277,2
11288,2
11298,2
11308,2
11317,2
11327,2
11335,2
11344,2
11352,2
11361,2
11369,2
11378,2
11389,2
11400,2
11409,2
11418,2
11427,2
11436,2
11446,2
11456,2
11465,2
11474,2
11483,2
11494,2
11505,2
11516,2
11525,2
11534,2
11544,2
11554,2
11564,2
11572,2
11582,2
11591,2
11601,2
11609,2
11618,2
11628,2
11638,2
11649,2
11659,2
11669,2
11678,2
11686,2
11695,2
11705,2
11713,2
11723,2
11732,2
11740,2
11750,2
11759,2
11769,2
11780,2
11788,2
11797,2
11807,2
11815,2
11823,2
11831,2
11841,2
11852,2
11862,2
11873,2
11882,2
11893,2
11904,2
11912,2
11920,2
11928,2
11938,2
11948,2
11957,2
11967,2
11977,2
11987,2
11998,2
12008,2
12018,2
12027,2
12036,2
12046,2
12056,2
12067,2
12077,2
12088,2
12098,2
12106,2
12117,2
12125,2
12134,2
