"emp_no","dept_no"
10010,"d004"
10018,"d004"
10029,"d004"
10040,"d005"
10050,"d002"
10060,"d007"
10070,"d005"
10080,"d002"
10088,"d007"
10098,"d004"
10108,"d001"
10116,"d005"
10124,"d004"
10134,"d004"
10144,"d002"
10155,"d004"
10164,"d004"
10172,"d005"
10182,"d005"
10192,"d004"
10200,"d004"
10209,"d002"
10219,"d005"
10228,"d001"
10238,"d005"
10249,"d005"
10259,"d001"
10268,"d004"
10279,"d004"
10287,"d005"
10298,"d004"
10307,"d004"
10317,"d004"
10327,"d005"
10335,"d007"
10344,"d004"
10354,"d002"
10363,"d004"
10374,"d007"
10382,"d004"
10392,"d004"
10403,"d002"
10412,"d004"
10422,"d004"
10430,"d004"
10440,"d005"
10449,"d001"
10459,"d002"
10469,"d005"
10478,"d005"
10488,"d005"
10499,"d001"
10510,"d007"
10519,"d005"
10529,"d004"
10538,"d004"
10548,"d001"
10557,"d005"
10567,"d001"
10577,"d004"
10585,"d005"
10593,"d004"
10604,"d004"
10614,"d004"
10623,"d005"
10634,"d005"
10644,"d002"
10655,"d002"
10663,"d004"
10673,"d005"
10681,"d001"
10690,"d004"
10701,"d007"
10709,"d005"
10720,"d004"
10730,"d004"
10738,"d005"
10748,"d002"
10756,"d004"
10765,"d001"
10775,"d004"
10786,"d004"
10797,"d004"
10806,"d002"
10817,"d007"
10825,"d004"
10836,"d007"
10846,"d005"
10855,"d002"
10865,"d007"
10874,"d004"
10885,"d001"
10895,"d007"
10906,"d002"
10916,"d004"
10926,"d004"
10937,"d004"
10948,"d005"
10956,"d004"
10966,"d004"
10975,"d004"
10985,"d005"
10994,"d004"
11004,"d004"
11012,"d001"
11022,"d007"
11032,"d005"
11041,"d004"
11052,"d004"
11061,"d002"
11072,"d004"
11083,"d002"
11092,"d001"
11102,"d007"
11110,"d004"
11120,"d007"
11129,"d005"
11138,"d005"
11148,"d002"
11156,"d005"
11164,"d002"
11172,"d001"
11182,"d004"
11190,"d001"
11199,"d004"
11209,"d004"
11219,"d005"
11229,"d004"
11238,"d005"
11246,"d004"
11257,"d005"
11267,"d005"
11277,"d005"
11288,"d001"
11298,"d004"
11308,"d005"
11317,"d005"
11327,"d004"
11335,"d005"
11344,"d007"
11352,"d004"
11361,"d004"
11369,"d004"
11378,"d005"
11389,"d001"
11400,"d004"
11409,"d004"
11418,"d001"
11427,"d001"
11436,"d002"
11446,"d005"
11456,"d004"
11465,"d005"
11474,"d004"
11483,"d001"
11494,"d004"
11505,"d004"
11516,"d005"
11525,"d001"
11534,"d005"
11544,"d002"
11554,"d001"
11564,"d004"
11572,"d004"
11582,"d004"
11591,"d004"
11601,"d007"
11609,"d001"
11618,"d001"
11628,"d005"
11638,"d004"
11649,"d005"
11659,"d007"
11669,"d004"
11678,"d004"
11686,"d004"
11695,"d004"
11705,"d002"
11713,"d004"
11723,"d007"
11732,"d004"
11740,"d001"
11750,"d004"
11759,"d004"
11769,"d005"
11780,"d004"
11788,"d004"
11797,"d001"
11807,"d004"
11815,"d004"
11823,"d005"
11831,"d004"
11841,"d001"
11852,"d001"
11862,"d004"
11873,"d001"
11882,"d001"
11893,"d004"
11904,"d001"
11912,"d004"
11920,"d005"
11928,"d004"
11938,"d004"
11948,"d004"
11957,"d005"
11967,"d002"
11977,"d004"
11987,"d004"
11998,"d004"
12008,"d004"
12018,"d004"
12027,"d005"
12036,"d001"
12046,"d001"
12056,"d005"
12067,"d007"
12077,"d004"
12088,"d002"
12098,"d001"
12106,"d004"
12117,"d005"
12125,"d004"
12134,"d004"
12143,"d004"
12152,"d001"
12162,"d004"
12170,"d001"
12178,"d001"
12188,"d004"
12197,"d004"
12208,"d005"
12217,"d002"
12226,"d005"
12236,"d004"
12244,"d005"
12252,"d004"
12260,"d004"
12269,"d004"
12279,"d005"
12290,"d002"
12298,"d005"
12308,"d002"
12317,"d004"
12325,"d007"
12334,"d004"
12343,"d004"
12351,"d004"
12361,"d005"
12371,"d004"
12380,"d001"
12388,"d004"
12398,"d007"
12409,"d005"
12420,"d004"
12430,"d001"
12438,"d007"
12448,"d007"
12458,"d002"
12467,"d004"
12478,"d001"
12487,"d002"
12496,"d004"
12505,"d001"
12516,"d004"
12527,"d004"
12537,"d001"
12547,"d002"
12557,"d004"
12567,"d002"
12577,"d004"
12587,"d002"
12598,"d002"
12606,"d001"
12616,"d005"
12627,"d002"
12635,"d004"
12646,"d004"
12656,"d007"
12664,"d007"
12673,"d001"
12683,"d004"
12693,"d005"
12702,"d002"
12712,"d004"
